X,Y,OBJECTID,Naziv_stajališta,Linije,Opis,Napomena
16.102787,45.812778999,1,144 brigade-Lj.Posavskog - jug,"279,282",smjer Dubec\Sesvete,
15.958015,45.9025549990001,2,A.K.Snježna kraljica - istok,140,smjer Tomislavov dom,
15.9935550000001,45.762457999,3,Abramovićeva - jug        ,220,smjer Islandska ulica,
15.993031,45.763254999,4,Abramovićeva - sjever        ,109,smjer Savezne Republike Njemačke ,
16.1635140000001,45.9047409990001,5,Adamovec-centar - istok    ,"271,272",smjer Moravče\Glavnica Donja,
16.1630250000001,45.9045349990001,6,Adamovec-centar - sjever    ,264,smjer Jesenovec,
16.1632890000001,45.904211999,7,Adamovec-centar - zapad    ,"264,271,272",smjer prema gradu,
16.168663001,45.8946109990001,8,Adamovec-Šoštarići - istok ,"264,271,272",smjer Adamovec centar,
16.168729,45.894396999,9,Adamovec-Šoštarići - zapad ,"264,271,272",smjer prema gradu,
15.9601950000001,45.807489999,10,Adžijina - jug          ,118,smjer Mažuranićev trg,
15.9608880000001,45.8077309990001,11,Adžijina - sjever         ,118,smjer  Voltino,
15.916883,45.7430489990001,12,Agrokoka - istok            ,"161,162",smjer Savski most,
15.916723,45.7430609990001,13,Agrokoka - zapad           ,"161,162",smjer Brezovica,
16.068543,45.8231749990001,14,Aleja Javora - jug        ,"210,231",smjer ulica Kneza Branimira,
16.1149800000001,45.862677999,15,Aleja mira - istok,"261,262,263",smjer Kašina,
16.115512,45.8618329990001,16,Aleja mira - jug,267,smjer okretište Markovo Polje ,
16.1159020010001,45.8614749990001,17,Aleja mira - sjever,267,smjer prema gradu,
16.114881,45.8629959990001,18,Aleja mira - zapad,"261,262,263",smjer prema gradu,
16.0466099990001,45.838741999,19,Aleja tišine- istok      ,206,smjer Miroševec,
16.096887,45.8298389990001,20,Anke Krizmanić  - zapad    ,"224,283",smjer Dubec,
16.096915,45.8299229990001,21,Anke Krizmanić - istok     ,"224,283",smjer Novoselec,
16.096978001,45.8245869990001,22,Ante Starčevića 45 A - sjever,275,smjer Sesvete,
16.1660830000001,45.898130999,23,Antolkovići - istok        ,"264,271,272",smjer Adamovec centar,
16.16599,45.8980109990001,24,Antolkovići - zapad        ,"264,271,272",smjer prema gradu,
15.9020810000001,45.8019869990001,25,Antuna Šoljana - sjever,115,smjer Jankomir,
15.902940001,45.8013729990001,26,Antuna Šoljana - zapad,115,smjer Ljubljanica,
16.003137999,45.726164999,27,Arbanasova 44 - istok      ,"166,311,313,315,322",smjer Glavni kolodvor,
16.0028780000001,45.725943999,28,Arbanasova 44 - zapad     ,"166,311,313,315,322",smjer D. Dragonožec,
15.940815001,45.769146999,29,Arena centar - jug,"112,222",smjer prema gradu ,
15.943656,45.769463999,30,Arena centar - sjever        ,"112,222",smjer okretište Jaruščica ,
15.9448550000001,45.772321999,31,Arena Zagreb - istok,"112,234,315",smjer Savski most,
15.944559999,45.771983999,32,Arena Zagreb - zapad,"112,234,315",smjer Remetinečka cesta\Karlovačka cesta,
15.830078999,45.690797999,34,Ašpergeri - zapad           ,"161,162",smjer Savski most,
16.0319220000001,45.8391769990001,35,Avenija G. Šuška-MUP - istok,"205,232",smjer Svetošimunska cesta,
16.032313,45.8381049990001,36,Avenija G. Šuška-MUP - zapad ,"205,232",smjer terminal Dubrava,
15.997306,45.8671199990001,37,Bačun - istok               ,233,smjer Trg Svetog Šimuna,
15.9967360000001,45.866609999,38,Bačun - zapad             ,233,smjer Mihaljevac,
16.1702549990001,45.9298919990001,39,Bahlenova - istok           ,272,smjer okretište Moravče ,
16.1702540000001,45.9296909990001,40,Bahlenova - zapad         ,272,smjer prema gradu,
